Empresas, Ftype, Investors
Asegurate Facil, Seed, Velum Ventures
Venzee Technologies Inc., Convertible Note, Angel Ventures
Itaro, Series A, Astella Investimentos
Tbit, Seed, Inseed Investimentos
Mosyle, Seed, DGF Investimentos
bLive, Seed, Criatec 2
Rappi, Seed, Investo
Redspread, Seed, Investo
Carobhouse, Series A, CRP Companhia de Participaçõe
ALavadeira, Series A, CRP Companhia de Participaçõe
nubelo, Venture - Series Unknown, Mountain Nazca
Siteware, Seed, Bozano Investimentos
Siteware, Seed, Criatec 2
Nuve, Series A, Alta Ventures Mexico
Andes Biotechnologies, Venture - Series Unknown, Aurus
First Opinion, Series A, Monashees
Infracommerce, Venture - Series Unknown, e.Bricks Ventures
Concil, Series A, SP Ventures
Concil, Series A, DGF Investimentos
Voy al Doc, Seed, ALLVP
Voy al Doc, Seed, Angel Ventures
Prontmed, Seed, e.Bricks Ventures
Capitalizarme, Venture - Series Unknown, Mountain Nazca
Capitalizarme, Venture - Series Unknown, Aurus
Club Point, Venture - Series Unknown, Mountain Nazca
Rocket.La, Seed, Angel Ventures
Rocket.La, Seed, T2m Capital
Grupo Xango, Series B, Redpoint eventures
IguanaFix, Seed, Angel Ventures
Sophie & Juliete, Series B, Redpoint eventures
Sophie & Juliete, Series B, Astella Investimentos
Dot Legend, Seed, Bozano Investimentos
Dot Legend, Seed, Criatec 2
Clip, Series A, Angel Ventures
Nubity, Seed, ALLVP
My Sports Box, Seed, Mountain Nazca
Converus, Venture - Series Unknown, Alta Ventures Mexico
Médica Santa Carmen, Series A, ALLVP
Wanderu, Series A, Alta Ventures Mexico
Pocket Supernova, Seed, Investo
OFI, Venture - Series Unknown, Velum Ventures
NubeliU, Seed, Kaszek Ventures
PSafe Technology, Series C, Redpoint eventures
Love Mondays, Seed, Kaszek Ventures
Carreira Beauty, Seed, Redpoint eventures
BovControl, Seed, Redpoint eventures
FLUVIP, Venture - Series Unknown, Velum Ventures
clickOnero, Series A, Angel Ventures
OPI, Seed, Mountain Nazca
Screenie, Convertible Note, Alta Ventures Mexico
Inprenha, Series A, SP Ventures
Paid, Seed, Investo
Technisys, Series B, Kaszek Ventures
Technisys, Series B, Alta Ventures Mexico
Lamiecco, Series A, Inseed Investimentos
Elo7, Series C, Monashees
Runrun, Series A, Monashees
bodaplanes, Seed, Velum Ventures
Medicinia, Series A, Monashees
Medicinia, Series A, Redpoint eventures
Plugg.To, Convertible Note, Mercado Libre Fund
Catycan, Convertible Note, Mercado Libre Fund
Nibo, Series A, Redpoint eventures
Nubank, Series A, Kaszek Ventures
Nubank, Series A, Investo
BuscaLibre, Venture - Series Unknown, Aurus
Kueski, Seed, Investo
Kueski, Seed, Angel Ventures
Cuídate, Series A, ALLVP
BlueOpex, Series A, Confrapar
Levee, Seed, Monashees
Levee, Seed, e.Bricks Ventures
Seenapse, Seed, Mountain Nazca
Miroculus, Seed, Mountain Nazca
Reqlut, Seed, Magma Partners
Nutrebem, Convertible Note, Confrapar
TappTime, Seed, Mountain Nazca
El Telon, Seed, Mountain Nazca
Poliglota, Seed, Mountain Nazca
Itaro, Series A, Astella Investimentos
Kinostics, Venture - Series Unknown, Aurus
Levita Magnetics, Venture - Series Unknown, Aurus
Hostspot, Seed, Investo
Promip, Series A, SP Ventures
Loggi, Series A, Monashees
Ciudad de Mascotas, Seed, Velum Ventures
Kubo.financiero, Seed, Alta Ventures Mexico
Cocina Mejor, Seed, Velum Ventures
Flores Y Mas, Seed, Velum Ventures
VidAngel, Seed, Alta Ventures Mexico
Clip, Convertible Note, Alta Ventures Mexico
ADTsys Cloud Computing, Series A, DGF Investimentos
Shoe Lovers, Seed, DILA Capital
ZoeMob, Convertible Note, e.Bricks Ventures
Edoome, Seed, Magma Partners
Pricing Compass, Seed, Magma Partners
EchoPixel, Venture - Series Unknown, Aurus
INTANGIBLE INVESTMENTS, Seed, Mountain Nazca
FutureLeague, Seed, Investo
Real Trends, Convertible Note, Mercado Libre Fund
Minuto Seguros, Series B, Redpoint eventures
Omiexperience, Angel, Astella Investimentos
MFM - Master Financial Management, Venture - Series Unknown, Alta Ventures Mexico
Aquiris, Series A, CRP Companhia de Participaçõe
QMagico, Series A, Bozano Investimentos
Nuve, Debt Financing, Alta Ventures Mexico
ClickMagic, Venture - Series Unknown, Aurus
Infracommerce, Convertible Note, e.Bricks Ventures
Grupo Netshoes, Venture - Series Unknown, Kaszek Ventures
GuiaBolso, Series A, Kaszek Ventures
GuiaBolso, Series A, e.Bricks Ventures
Clicksign, Seed, Redpoint eventures
Clicksign, Seed, Astella Investimentos
ClubVenta, Venture - Series Unknown, Aurus
Tu Canton, Angel, Angel Ventures
Tu Canton, Angel, DILA Capital
Bidu, Series B, Monashees
Trigemina, Venture - Series Unknown, Aurus
Ondore, Convertible Note, Alta Ventures Mexico
Space Monkey, Venture - Series Unknown, Alta Ventures Mexico
ReStudio, Seed, Magma Partners
EmporioCommerce, Seed, Mercado Libre Fund
Nubimetrics, Convertible Note, Mercado Libre Fund
Carrot, Series A, ALLVP
Cambly, Seed, Investo
GOintegro, Series B, Kaszek Ventures
Bebitos, Venture - Series Unknown, Alta Ventures Mexico
Andes Biotechnologies, Venture - Series Unknown, Aurus
Tu Canton, Seed, Angel Ventures
Tu Canton, Seed, DILA Capital
Intelimétrica, Seed, Angel Ventures
Seahorse, Seed, Mountain Nazca
Rocket.La, Convertible Note, Angel Ventures
Rocket.La, Convertible Note, T2m Capital
Ingresse, Series A, e.Bricks Ventures
Ingresse, Series A, DGF Investimentos
Memed, Series A, Redpoint eventures
Talent Process, Seed, Mountain Nazca
Space Monkey, Venture - Series Unknown, Alta Ventures Mexico
Sophie & Juliete, Series B, Redpoint eventures
Sophie & Juliete, Series B, Astella Investimentos
Oja.la, Seed, Investo
Oja.la, Seed, Alta Ventures Mexico
Oja.la, Seed, Angel Ventures
VidAngel, Seed, Alta Ventures Mexico
Cranberry Chic, Seed, Mountain Nazca
nubelo, Seed, Mountain Nazca
Energryn, Convertible Note, Alta Ventures Mexico
Glamit, Venture - Series Unknown, Mountain Nazca
Glamit, Venture - Series Unknown, Mercado Libre Fund
MFM - Master Financial Management, Venture - Series Unknown, Alta Ventures Mexico
Nibo, Series A, Redpoint eventures
Nubleer Media, Seed, Mountain Nazca
Gaudena, Series A, ALLVP
Petsy, Venture - Series Unknown, Mountain Nazca
Petsy, Venture - Series Unknown, ALLVP
Petsy, Venture - Series Unknown, DILA Capital
