Investors,Empresa,Ftype
Velum Ventures,FLUVIP,Venture - Series Unknown
Angel Ventures,clickOnero,Series A
Mountain Nazca,OPI,Seed
Alta Ventures Mexico,Screenie,Convertible Note
SP Ventures,Inprenha,Series A
Investo,Paid,Seed
Alta Ventures Mexico,Technisys,Series B
Kaszek Ventures,Technisys,Series B
Inseed Investimentos,Lamiecco,Series A
Monashees,Elo7,Series C
Monashees,Runrun,Series A
Velum Ventures,bodaplanes,Seed
Monashees,Medicinia,Series A
Redpoint eventures,Medicinia,Series A
Mercado Libre Fund,Plugg.To,Convertible Note
Mercado Libre Fund,Catycan,Convertible Note
Redpoint eventures,Nibo,Series A
Kaszek Ventures,Nubank,Series A
Aurus,BuscaLibre,Venture - Series Unknown
Angel Ventures,Kueski,Seed
ALLVP,Cuídate,Series A
Confrapar,BlueOpex,Series A
e.Bricks Ventures,Levee,Seed
Monashees,Levee,Seed
Mountain Nazca,Seenapse,Seed
Mountain Nazca,Miroculus,Seed
Magma Partners,Reqlut,Seed
Confrapar,Nutrebem,Convertible Note
Mountain Nazca,TappTime,Seed
Mountain Nazca,El Telon,Seed
Mountain Nazca,Poliglota,Seed
Astella Investimentos,Itaro,Series A
Aurus,Kinostics,Venture - Series Unknown
Aurus,Levita Magnetics,Venture - Series Unknown
Investo,Hostspot,Seed
SP Ventures,Promip,Series A
Monashees,Loggi,Series A
Velum Ventures,Ciudad de Mascotas,Seed
Alta Ventures Mexico,Kubo.financiero,Seed
Velum Ventures,Cocina Mejor,Seed
Velum Ventures,Flores Y Mas,Seed
Alta Ventures Mexico,VidAngel,Seed
Alta Ventures Mexico,Clip,Convertible Note
DGF Investimentos,ADTsys Cloud Computing,Series A
DILA Capital,Shoe Lovers,Seed
e.Bricks Ventures,ZoeMob,Convertible Note
Magma Partners,Edoome,Seed
Magma Partners,Pricing Compass,Seed
Aurus,EchoPixel,Venture - Series Unknown
Mountain Nazca,INTANGIBLE INVESTMENTS,Seed
Investo,FutureLeague,Seed
Mercado Libre Fund,Real Trends,Convertible Note
Redpoint eventures,Minuto Seguros,Series B
Astella Investimentos,Omiexperience,Angel
Alta Ventures Mexico,MFM - Master Financial Management,Venture - Series Unknown
CRP Companhia de Participaçõe,Aquiris,Series A
Bozano Investimentos,QMagico,Series A
Alta Ventures Mexico,Nuve,Debt Financing
Aurus,ClickMagic,Venture - Series Unknown
e.Bricks Ventures,Infracommerce,Convertible Note
Kaszek Ventures,Grupo Netshoes,Venture - Series Unknown
e.Bricks Ventures,GuiaBolso,Series A
Kaszek Ventures,GuiaBolso,Series A
Astella Investimentos,Clicksign,Seed
Redpoint eventures,Clicksign,Seed
Aurus,ClubVenta,Venture - Series Unknown
Angel Ventures,Tu Canton,Angel
DILA Capital,Tu Canton,Angel
Monashees,Bidu,Series B
Aurus,Trigemina,Venture - Series Unknown
Alta Ventures Mexico,Ondore,Convertible Note
Alta Ventures Mexico,Space Monkey,Venture - Series Unknown
Magma Partners,ReStudio,Seed
Mercado Libre Fund,EmporioCommerce,Seed
Mercado Libre Fund,Nubimetrics,Convertible Note
ALLVP,Carrot,Series A
Investo,Cambly,Seed
Kaszek Ventures,GOintegro,Series B
Alta Ventures Mexico,Bebitos,Venture - Series Unknown
Aurus,Andes Biotechnologies,Venture - Series Unknown
Angel Ventures,Tu Canton,Seed
DILA Capital,Tu Canton,Seed
Angel Ventures,Intelimétrica,Seed
Mountain Nazca,Seahorse,Seed
Angel Ventures,Rocket.La,Convertible Note
T2M Capital,Rocket.La,Convertible Note
DGF Investimentos,Ingresse,Series A
e.Bricks Ventures,Ingresse,Series A
Redpoint eventures,Memed,Series A
Mountain Nazca,Talent Process,Seed
Alta Ventures Mexico,Space Monkey,Venture - Series Unknown
Astella Investimentos,Sophie & Juliete,Series B
Redpoint eventures,Sophie & Juliete,Series B
Alta Ventures Mexico,Oja.la,Seed
Angel Ventures,Oja.la,Seed
Investo,Oja.la,Seed
Alta Ventures Mexico,VidAngel,Seed
Mountain Nazca,Cranberry Chic,Seed
Mountain Nazca,nubelo,Seed
Alta Ventures Mexico,Energryn,Convertible Note
Mercado Libre Fund,Glamit,Venture - Series Unknown
Mountain Nazca,Glamit,Venture - Series Unknown
Alta Ventures Mexico,MFM - Master Financial Management,Venture - Series Unknown
Redpoint eventures,Nibo,Series A
Mountain Nazca,Nubleer Media,Seed
ALLVP,Gaudena,Series A
ALLVP,Petsy,Venture - Series Unknown
DILA Capital,Petsy,Venture - Series Unknown
Mountain Nazca,Petsy,Venture - Series Unknown
Redpoint eventures,PSafe Technology,Series C
Mountain Nazca,My Sports Box,Seed
Mountain Nazca,Trendyta,Seed
Aurus,Algenis,Venture - Series Unknown
Monashees,ContaAzul,Series B
Aurus,EchoPixel,Seed
Alta Ventures Mexico,Clip,Seed
Angel Ventures,Clip,Seed
Alta Ventures Mexico,Shopperception Inc,Seed
Mercado Libre Fund,Colppy,Convertible Note
ALLVP,Petsy,Series A
DILA Capital,Petsy,Series A
